epoch,accuracy,loss,val_accuracy,val_loss
0,0.8713651299476624,0.4164212942123413,0.9343839287757874,0.22919929027557373
1,0.912619948387146,0.2803800404071808,0.9426934123039246,0.19852350652217865
2,0.9209759831428528,0.2548845708370209,0.9472779631614685,0.16873466968536377
3,0.9236976504325867,0.2381736934185028,0.9469913840293884,0.17162352800369263
4,0.9269445538520813,0.22753667831420898,0.9435530304908752,0.18572816252708435
5,0.9294752478599548,0.2205979973077774,0.9478510022163391,0.18554888665676117
6,0.9353483319282532,0.20030303299427032,0.9504297971725464,0.16601388156414032
7,0.9375447630882263,0.19022014737129211,0.9475644826889038,0.166873961687088
8,0.9404096603393555,0.18388327956199646,0.951002836227417,0.16243015229701996
9,0.9424151182174683,0.18129393458366394,0.9524355530738831,0.1561986207962036
10,0.9427016377449036,0.1772734820842743,0.952148973941803,0.16008415818214417
11,0.9425583481788635,0.1735294908285141,0.9524355530738831,0.16315695643424988
12,0.9444683194160461,0.1674121618270874,0.9472779631614685,0.1807449758052826
13,0.9484314322471619,0.15701068937778473,0.9515759348869324,0.15716421604156494
14,0.9502936601638794,0.15016332268714905,0.9538682103157043,0.1565186083316803
